sector;site;transect;scleractinian;millepora;octocoral;cervicornis;rdead_ac;odead_ac;sponge;other;halimeda;algae;turf algae;rubble;cyano;sand
NE;BM1;T1;0;6.923076923;0;31.53846154;3.076923077;46.92307692;0.769230769;0;4.615384615;3.076923077;0;2.307692308;0;0.769230769
NE;BM1;T2;0;0;0;47.69230769;3.846153846;38.46153846;0;0;0.769230769;0;0;3.076923077;0;6.153846154
NE;BM1;T3;0;10;5.384615385;19.23076923;0;21.53846154;0;0;0.769230769;2.307692308;1.538461538;32.30769231;0.769230769;6.153846154
NE;BM1;T4;0;1.538461538;0.769230769;32.30769231;1.538461538;39.23076923;0;0;2.307692308;0.769230769;0;15.38461538;0;6.153846154
NE;BM2;T1;0;0;20.76923077;12.30769231;0;19.23076923;0.769230769;0.769230769;0;6.923076923;0;20;0;19.23076923
NE;BM2;T2;4.615384615;0;5.384615385;20;3.076923077;30;0;3.076923077;4.615384615;4.615384615;0.769230769;12.30769231;0.769230769;10.76923077
NE;BM2;T3;7.692307692;0;9.230769231;9.230769231;0.769230769;21.53846154;0.769230769;0.769230769;0.769230769;5.384615385;0.769230769;16.15384615;0.769230769;26.15384615
NE;BM2;T4;3.846153846;0;26.15384615;5.384615385;1.538461538;16.15384615;0;3.846153846;2.307692308;0.769230769;6.923076923;10;0;23.07692308
CSW;BQV;T1;6.923076923;0;0;7.692307692;0.769230769;5.384615385;6.923076923;0.769230769;0;20.76923077;0.769230769;20.76923077;0;29.23076923
CSW;BQV;T2;0;0;0;20;0.769230769;14.61538462;0;0;0;14.61538462;0;10;0;40
CSW;CAN;T1;9.230769231;0;0;7.692307692;0;0;0;0.769230769;3.846153846;0;0;32.30769231;0;46.15384615
CSW;CAN;T2;0.769230769;0;0;11.53846154;0;1.538461538;0;0;0;0;0;47.69230769;0;38.46153846
CSW;CAN;T3;0.769230769;0;0;14.61538462;0.769230769;7.692307692;0;1.538461538;0.769230769;0;0;16.15384615;0;57.69230769
CSW;CAN;T4;1.538461538;0;0;18.46153846;0;0.769230769;0;0;0;0;0;34.61538462;0;44.61538462
CSW;ESP;T1;6.153846154;0.769230769;3.846153846;30.76923077;1.538461538;13.84615385;0.769230769;0;6.923076923;13.07692308;0;7.692307692;0;14.61538462
CSW;ESP;T2;0;0;0;20;0;6.153846154;1.538461538;0;4.615384615;1.538461538;0;10.76923077;0;55.38461538
CSW;ESP;T3;0;0;0;25.38461538;3.846153846;19.23076923;3.076923077;0;3.846153846;3.076923077;0;18.46153846;0;23.07692308
CSW;ESP;T4;0;3.076923077;0;16.92307692;0.769230769;30;0.769230769;0;7.692307692;2.307692308;0;21.53846154;0;16.92307692
