sector;site;transect;freq
NE;BM1;T1;9.756097561
NE;BM1;T2;11.29032258
NE;BM1;T3;0
NE;BM1;T4;4.761904762
NE;BM2;T1;31.25
NE;BM2;T2;11.53846154
NE;BM2;T3;33.33333333
NE;BM2;T4;0
CSW;CAN;T1;0
CSW;CAN;T2;0
CSW;CAN;T3;5.263157895
CSW;CAN;T4;0
CSW;ESP;T1;12.5
CSW;ESP;T2;0
CSW;ESP;T3;27.27272727
CSW;ESP;T4;9.090909091
CSW;HDMS;T1;0
CSW;HDMS;T2;0
CSW;HDMS;T3;0
CSW;HDMS;T4;0
CSW;IF;T1;10.29411765
CSW;IF;T2;0
CSW;IF;T3;4
CSW;IF;T4;2.777777778
CSW;IL;T1;5.555555556
CSW;IL;T2;3.703703704
CSW;IL;T3;7.352941176
CSW;IL;T4;3.773584906
NE;MAD;T1;4.761904762
NE;MAD;T2;6.451612903
NE;MAD;T3;1.538461538
NE;MAD;T4;1.408450704
CE;NOR;T1;4.081632653
CE;NOR;T2;2.631578947
CE;NOR;T3;13.79310345
CE;NOR;T4;0
CE;RAB;T1;0
CE;RAB;T2;0
CE;RAB;T3;0
CE;RAB;T4;0
CE;VEN;T1;19.56521739
CE;VEN;T2;10.22727273
CE;VEN;T3;33.33333333
CE;VEN;T4;6.730769231
