Month,Day,Conca,X,Y,Lat,Lon,Site,Leeward/Windward ,Slope,Sustr,PM,Continuous,PMcont,Dispersed ,Pmdisp,Scatter Patches,Pmscatt_Pat,Isolated colonies,PMiso_col,abun_gen,mort_parc,,categorias,,
Jul-,8,8-Jul,764470.3,1308104.6,11.82277299,-66.57277099,BAJO ESTE 2,Leeward,1,S,,NA,NA,NA,NA,R,U,NA,NA,R,U,,R,Rare,1
Jul-,8,8-Jul,763974.1,1313672.7,11.8731212,-66.57687788,BAJO ESTE 4,Leeward,1,S,,NA,NA,NA,NA,R,R,R,R,R,R,,U,Uncommon,2
Abr-,26,Abr-26,756768.1,1319134.2,11.92303,-66.64256,BAJO MADRISQUI,Leeward,1,S R,,NA,NA,A,C,A,C,NA,NA,A,C,,C,Common,3
Jul-,6,6-Jul,726172.5,1309587.4,11.83896197,-66.92398002,BEQUEVE CABECERA ADENTRO,Leeward,1,S,,NA,NA,C,A,A,C,NA,NA,A,A,,A,Abundant,4
Jul-,8,8-Jul,761511.7,1316145.3,11.89565599,-66.59927197,BOCA DEL MEDIO BAJO 2,Leeward,2,S R,,NA,NA,C,C,U,C,R,C,C,C,,NA,Not available,
Jul-,6,6-Jul,730857.7188,1316331.041,11.88962536,-66.84319633,CARENERO BARLOVENTO,Windward,1,S R,3,NA,NA,NA,NA,U,C,NA,NA,U,C,,,,
Jul-,4,4-Jul,751472.5126,1301106.611,11.76053317,-66.69251962,COTE,Windward,1,S R,2,NA,NA,R,U,U,U,U,U,U,U,,,,
Jul-,8,8-Jul,756796.7,1322971.8,11.95770303,-66.64199696,FRANCISQUI ALTO,Windward,2,S,,NA,NA,NA,NA,NA,NA,R,R,R,R,,,,
Jul-,8,8-Jul,756398.1,1322478.1,11.95327302,-66.64569397,FRANCISQUI ALTO 2,Windward,2,S,,NA,NA,NA,NA,R,U,R,R,R,U,,,,
Jul-,4,4-Jul,730449.3778,1305054.478,11.79770652,-66.88505632,HERRADURA DOS MOSQUISES,Leeward,1,,,NA,NA,C,C,C,C,C,R,C,C,,,,
Abr-,28,Abr-28,734268.6656,1314545.485,11.88321473,-66.84935116,ISLA FELIPA,Leeward,1,S DP,,NA,NA,A,R,U,R,A,R,A,R,,,,
Jul-,6,6-Jul,741816.1,1313470.5,11.872965,-66.780178,LA PEPITA BAJO 1,Leeward,1,S,1,NA,NA,C,R,NA,NA,U,R,C,R,,,,
Jul-,6,6-Jul,741918.9,1313922.9,11.87704498,-66.77920201,LA PEPITA BAJO 2,Leeward,1,S,3,NA,NA,R,A,C,C,C,R,C,A,,,,
Abr-,25,Abr-25,747608.2468,1314141.892,11.87860906,-66.72698605,LA VENADA,Leeward,1,S,,A,R,NA,NA,C,R,NA,NA,A,R,,,,
Abr-,25,Abr-25,740388.9,1314344.4,11.88096425,-66.79320877,LAGUNA  DE ESPENKI,Leeward,1,S R,,NA,NA,NA,NA,C,R,NA,NA,C,R,,,,
Jul-,4,4-Jul,751117,1309312,11.83470471,-66.69516066,LAGUNA 12,Leeward,1,S T,0,NA,NA,NA,NA,NA,NA,R,R,R,R,,,,
Jul-,4,4-Jul,751045.1598,1309319.271,11.83477577,-66.69581912,LAGUNA 8,Leeward,1,S T,3,NA,NA,NA,C,U,C,NA,C,U,C,,,,
Jul-,4,4-Jul,747865.7511,1307018.53,11.81422111,-66.72515647,LAGUNA 9,Leeward,1,S T,3,NA,NA,U,C,NA,C,NA,C,U,C,,,,
Jul-,6,6-Jul,734458.19,1315348.081,11.89045458,-66.84755511,LAGUNA CARENERO,Leeward,1,S,,NA,NA,C,A,C,C,R,A,C,A,,,,
Abr-,28,Abr-28,734458.19,1315348.081,11.89045458,-66.84755511,LAGUNA CARENERO,Leeward,1,S,,NA,NA,NA,NA,NA,NA,R,R,R,R,,,,
Jul-,4,4-Jul,751275,1312983.2,11.86786604,-66.69343301,LAGUNA RABUSQUI,Leeward,1,S,0,NA,NA,U,A,C,A,C,R,C,A,,,,
Jul-,7,7-Jul,754639.7,1320929.3,11.93941231,-66.66195027,MADRISQUI 1,Windward,1,S,2,NA,NA,NA,NA,C,R,U,R,C,R,,,,
Jul-,7,7-Jul,754915,1320827,11.938467,-66.659432,MADRISQUI 2,Windward,1,S,2,R,R,C,R,C,U,U,R,C,U,,,,
Abr-,28,Abr-28,734454.8847,1313198.684,11.87103061,-66.84773806,MOSQUITO,Windward,2,S DP,,NA,NA,NA,NA,NA,NA,R,U,R,U,,,,
